Comp No,Comp Name,SIC Code,Inc Date,Last Made Up Date,Cash
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
5067916,PROFITMORE LIMITED,18129,09/03/2004,09/03/2012,"4,299"
4683692,BLUE SKY PUBLICATIONS LIMITED,58130,03/03/2003,03/03/2012,"51,753"
0,,,,,
8120156,TRIBEWANTED SUSTAINABLE COMMUNITIES CIC,None,26/06/2012,,
00SC430130,,,,,
0,,,,,
6743818,FIORE MEDIA LTD,63990,07/11/2008,07/11/2012,"2,067"
0,,,,,
7943651,OVIVO WELLNESS LIMITED,None,09/02/2012,,
0,,,,,
7115923,CEME ENTERPRISE LIMITED,56210,05/01/2010,05/01/2012,"230,615"
0,,,,,
4599255,LANGER & CO LIMITED,69201,25/11/2002,25/11/2012,"11,521"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8177261,MOOSE X-TRAINING LTD,93199,13/08/2012,15/10/2012,
0,,,,,
0,,,,,
7369987,JOHNSON & KEEBLE LTD,43320,08/09/2010,08/09/2012,"56,227"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8323208,LIGHTS CAMERA ACTION GLASGOW LIMITED,None,07/12/2012,,
0,,,,,
0,,,,,
0,,,,,
7843011,CONCEPTS OUTDOOR LIMITED,47760,10/11/2011,10/11/2012,712
0,,,,,
0,,,,,
00SC340824,,,,,
7695739,BUTTERWARE LTD,62012,06/07/2011,06/07/2012,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8341148,WEBDURANCE LTD,None,24/12/2012,,
0,,,,,
0,,,,,
0,,,,,
8017262,PLANET TWIG LTD,None,03/04/2012,,
0,,,,,
00SC381268,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8260957,CAREER ANSWERS LIMITED,None,19/10/2012,,
6687898,WEBTISE LIMITED,62020,03/09/2008,03/09/2012,"22,319"
2981292101,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8284037,DARREN LEWIS LIMITED,None,07/11/2012,,
8329619,CLOSE PROTECTION CCTV LTD,None,13/12/2012,,
7280544,GETSITED LTD,62090,10/06/2010,10/06/2012,"1,743"
8354918,JAMES FOY PLUMBING LIMITED,None,10/01/2013,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6460858,SUPREME BIOTECHNOLOGIES LTD,23990,28/12/2007,25/01/2012,"11,920"
7826003,CAFFEINATED PROJECTS LIMITED,63990,27/10/2011,27/10/2012,
8265573,NAKED TECHNOLOGY LIMITED,None,23/10/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6554236,FOOTFALL DIRECT LIMITED,18129,03/04/2008,03/04/2012,"6,214"
0,,,,,
6361033,PITCH HERO LIMITED,62090,04/09/2007,04/09/2012,"14,060"
3815134,BOVILL LIMITED,82990,28/07/1999,20/07/2012,"379,948"
0,,,,,
5274100,LPC (SURVEYORS) LIMITED,74909,01/11/2004,01/11/2012,"12,344"
3404562,WEBLEGAL LTD.,82990,17/07/1997,17/07/2012,"6,016"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
00OC340429,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8030283,LICENSED TRADE INTERNATIONAL LTD,None,13/04/2012,,
0,,,,,
0,,,,,
7346594,STUDENTIAL LTD,85421,16/08/2010,16/08/2012,0
0,,,,,
0,,,,,
00SC390886,,,,,
00SC408915,,,,,
0,,,,,
6323311,THE CURRENCY CLOUD LIMITED,66110,25/07/2007,25/07/2012,"1,697,119"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
00NI609529,,,,,
0,,,,,
6757227,TEN MOTIVES LIMITED,47789,25/11/2008,24/08/2012,"118,598"
8034823,SPORTS CLUB MEDIA LIMITED,None,18/04/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7535141,GOT 2 SING LIMITED,99999,18/02/2011,18/02/2012,0
3043106,JUDD ASSOCIATES LIMITED,73110,07/04/1995,07/04/2012,0
